대지위치,시군구코드,법정동코드,대지구분코드,번,지,사용년월,도로명대지위치,새주소일련번호,새주소도로코드,새주소지상지하코드,새주소본번,새주소부번,사용량(KWh)
서울특별시 성동구 사근동 181-2,11200,10600,0,0181,0002,202501,서울특별시 성동구 사근동12길 4 (사근동) ,1,112004109287,0,4,0,3419
서울특별시 성동구 사근동 181-2,11200,10600,0,0181,0002,202502,서울특별시 성동구 사근동12길 4 (사근동) ,1,112004109287,0,4,0,3605
서울특별시 성동구 사근동 181-2,11200,10600,0,0181,0002,202503,서울특별시 성동구 사근동12길 4 (사근동) ,1,112004109287,0,4,0,3102
서울특별시 성동구 사근동 181-2,11200,10600,0,0181,0002,202504,서울특별시 성동구 사근동12길 4 (사근동) ,1,112004109287,0,4,0,3211
서울특별시 성동구 사근동 181-2,11200,10600,0,0181,0002,202505,서울특별시 성동구 사근동12길 4 (사근동) ,1,112004109287,0,4,0,2942
서울특별시 성동구 사근동 181-2,11200,10600,0,0181,0002,202506,서울특별시 성동구 사근동12길 4 (사근동) ,1,112004109287,0,4,0,3428
서울특별시 성동구 사근동 181-2,11200,10600,0,0181,0002,202507,서울특별시 성동구 사근동12길 4 (사근동) ,1,112004109287,0,4,0,4059
서울특별시 성동구 사근동 181-2,11200,10600,0,0181,0002,202508,서울특별시 성동구 사근동12길 4 (사근동) ,1,112004109287,0,4,0,4556
서울특별시 성동구 사근동 181-2,11200,10600,0,0181,0002,202509,서울특별시 성동구 사근동12길 4 (사근동) ,1,112004109287,0,4,0,4210
서울특별시 성동구 사근동 182-3,11200,10600,0,0182,0003,202501,서울특별시 성동구 사근동10길 2-8 (사근동) ,1,112004109282,0,2,8,3768
서울특별시 성동구 사근동 182-3,11200,10600,0,0182,0003,202502,서울특별시 성동구 사근동10길 2-8 (사근동) ,1,112004109282,0,2,8,3385
서울특별시 성동구 사근동 182-3,11200,10600,0,0182,0003,202503,서울특별시 성동구 사근동10길 2-8 (사근동) ,1,112004109282,0,2,8,3159
서울특별시 성동구 사근동 182-3,11200,10600,0,0182,0003,202504,서울특별시 성동구 사근동10길 2-8 (사근동) ,1,112004109282,0,2,8,3604
서울특별시 성동구 사근동 182-3,11200,10600,0,0182,0003,202505,서울특별시 성동구 사근동10길 2-8 (사근동) ,1,112004109282,0,2,8,3368
서울특별시 성동구 사근동 182-3,11200,10600,0,0182,0003,202506,서울특별시 성동구 사근동10길 2-8 (사근동) ,1,112004109282,0,2,8,4218
서울특별시 성동구 사근동 182-3,11200,10600,0,0182,0003,202507,서울특별시 성동구 사근동10길 2-8 (사근동) ,1,112004109282,0,2,8,5955
서울특별시 성동구 사근동 182-3,11200,10600,0,0182,0003,202508,서울특별시 성동구 사근동10길 2-8 (사근동) ,1,112004109282,0,2,8,6918
서울특별시 성동구 사근동 182-3,11200,10600,0,0182,0003,202509,서울특별시 성동구 사근동10길 2-8 (사근동) ,1,112004109282,0,2,8,6783
서울특별시 성동구 사근동 182-13,11200,10600,0,0182,0013,202501,,1,,,,,161
서울특별시 성동구 사근동 182-13,11200,10600,0,0182,0013,202502,,1,,,,,108
서울특별시 성동구 사근동 182-13,11200,10600,0,0182,0013,202503,,1,,,,,163
서울특별시 성동구 사근동 182-13,11200,10600,0,0182,0013,202504,,1,,,,,117
서울특별시 성동구 사근동 182-13,11200,10600,0,0182,0013,202505,,1,,,,,108
서울특별시 성동구 사근동 182-13,11200,10600,0,0182,0013,202506,,1,,,,,147
서울특별시 성동구 사근동 182-13,11200,10600,0,0182,0013,202507,,1,,,,,229
서울특별시 성동구 사근동 182-13,11200,10600,0,0182,0013,202508,,1,,,,,270
서울특별시 성동구 사근동 182-13,11200,10600,0,0182,0013,202509,,1,,,,,233
서울특별시 성동구 사근동 185-1,11200,10600,0,0185,0001,202501,서울특별시 성동구 사근동8길 11 (사근동) ,1,112004109293,0,11,0,4401
서울특별시 성동구 사근동 185-1,11200,10600,0,0185,0001,202502,서울특별시 성동구 사근동8길 11 (사근동) ,1,112004109293,0,11,0,4570
서울특별시 성동구 사근동 185-1,11200,10600,0,0185,0001,202503,서울특별시 성동구 사근동8길 11 (사근동) ,1,112004109293,0,11,0,3408
서울특별시 성동구 사근동 185-1,11200,10600,0,0185,0001,202504,서울특별시 성동구 사근동8길 11 (사근동) ,1,112004109293,0,11,0,2943
서울특별시 성동구 사근동 185-1,11200,10600,0,0185,0001,202505,서울특별시 성동구 사근동8길 11 (사근동) ,1,112004109293,0,11,0,3081
서울특별시 성동구 사근동 185-1,11200,10600,0,0185,0001,202506,서울특별시 성동구 사근동8길 11 (사근동) ,1,112004109293,0,11,0,3604
서울특별시 성동구 사근동 185-1,11200,10600,0,0185,0001,202507,서울특별시 성동구 사근동8길 11 (사근동) ,1,112004109293,0,11,0,4679
서울특별시 성동구 사근동 185-1,11200,10600,0,0185,0001,202508,서울특별시 성동구 사근동8길 11 (사근동) ,1,112004109293,0,11,0,5694
서울특별시 성동구 사근동 185-1,11200,10600,0,0185,0001,202509,서울특별시 성동구 사근동8길 11 (사근동) ,1,112004109293,0,11,0,5552
서울특별시 성동구 사근동 190-1,11200,10600,0,0190,0001,202501,서울특별시 성동구 사근동10길 14 (사근동) ,1,112004109282,0,14,0,4971
서울특별시 성동구 사근동 190-1,11200,10600,0,0190,0001,202502,서울특별시 성동구 사근동10길 14 (사근동) ,1,112004109282,0,14,0,4859
서울특별시 성동구 사근동 190-1,11200,10600,0,0190,0001,202503,서울특별시 성동구 사근동10길 14 (사근동) ,1,112004109282,0,14,0,4202
서울특별시 성동구 사근동 190-1,11200,10600,0,0190,0001,202504,서울특별시 성동구 사근동10길 14 (사근동) ,1,112004109282,0,14,0,4960
서울특별시 성동구 사근동 190-1,11200,10600,0,0190,0001,202505,서울특별시 성동구 사근동10길 14 (사근동) ,1,112004109282,0,14,0,4650
서울특별시 성동구 사근동 190-1,11200,10600,0,0190,0001,202506,서울특별시 성동구 사근동10길 14 (사근동) ,1,112004109282,0,14,0,5872
서울특별시 성동구 사근동 190-1,11200,10600,0,0190,0001,202507,서울특별시 성동구 사근동10길 14 (사근동) ,1,112004109282,0,14,0,7512
서울특별시 성동구 사근동 190-1,11200,10600,0,0190,0001,202508,서울특별시 성동구 사근동10길 14 (사근동) ,1,112004109282,0,14,0,9122
서울특별시 성동구 사근동 190-1,11200,10600,0,0190,0001,202509,서울특별시 성동구 사근동10길 14 (사근동) ,1,112004109282,0,14,0,8873
서울특별시 성동구 사근동 190-11,11200,10600,0,0190,0011,202501,서울특별시 성동구 사근동10길 16 (사근동) ,1,112004109282,0,16,0,8735
서울특별시 성동구 사근동 190-11,11200,10600,0,0190,0011,202502,서울특별시 성동구 사근동10길 16 (사근동) ,1,112004109282,0,16,0,8618
서울특별시 성동구 사근동 190-11,11200,10600,0,0190,0011,202503,서울특별시 성동구 사근동10길 16 (사근동) ,1,112004109282,0,16,0,7397
서울특별시 성동구 사근동 190-11,11200,10600,0,0190,0011,202504,서울특별시 성동구 사근동10길 16 (사근동) ,1,112004109282,0,16,0,8004
서울특별시 성동구 사근동 190-11,11200,10600,0,0190,0011,202505,서울특별시 성동구 사근동10길 16 (사근동) ,1,112004109282,0,16,0,7905
서울특별시 성동구 사근동 190-11,11200,10600,0,0190,0011,202506,서울특별시 성동구 사근동10길 16 (사근동) ,1,112004109282,0,16,0,9585
서울특별시 성동구 사근동 190-11,11200,10600,0,0190,0011,202507,서울특별시 성동구 사근동10길 16 (사근동) ,1,112004109282,0,16,0,11514
서울특별시 성동구 사근동 190-11,11200,10600,0,0190,0011,202508,서울특별시 성동구 사근동10길 16 (사근동) ,1,112004109282,0,16,0,12688
서울특별시 성동구 사근동 190-11,11200,10600,0,0190,0011,202509,서울특별시 성동구 사근동10길 16 (사근동) ,1,112004109282,0,16,0,12409
서울특별시 성동구 사근동 193-2,11200,10600,0,0193,0002,202501,서울특별시 성동구 사근동10길 20-5 (사근동) ,1,112004109282,0,20,5,270
서울특별시 성동구 사근동 193-2,11200,10600,0,0193,0002,202502,서울특별시 성동구 사근동10길 20-5 (사근동) ,1,112004109282,0,20,5,284
서울특별시 성동구 사근동 193-2,11200,10600,0,0193,0002,202503,서울특별시 성동구 사근동10길 20-5 (사근동) ,1,112004109282,0,20,5,249
