통계명,지표값,연도,최종업데이트,출처,기관명
신재생에너지 산업 기업체 수,314개,2019,2020-12,신재생에너지 산업통계,KEA 신재생에너지센터
신재생에너지 산업 고용인원,12599명,2019,2020-12,신재생에너지 산업통계,KEA 신재생에너지센터
천연가스 판매현황 [발전용],14774천톤,2019,2020-06,한국가스공사 홈페이지,한국가스공사
집단에너지 설치용량,36558Gcal/h,2018,2019-11,집단에너지 사업편람,한국에너지공단
집단에너지 생산량,117424831Gcal,2018,2019-11,집단에너지 사업편람,한국에너지공단
세계 CO₂배출 전망,34259MtCO2,2030,연말,World Energy Outlook 2017,IEA
세계 석유소비량 순위 &#40;우리나라 기준&#41;,7위,2019,2020-11,Statiscal Review of World Energy,BP
세계 CO₂배출 순위 &#40;우리나라 기준&#41;,6 위,2019,1905-07,CO2 Emission from fuel Combustion,IEA
세계 1차 에너지공급량,13972 Mtoe,2017,2019-09,Key World Statistics 2006 ~ 2019,IEA
2030 국가온실감축 기본로드맵,37%,2030,2018-11,2030 국가온실가스 감축 기본로드맵,관계부처 합동
재생에너지 3020 이행계획,20.00%,2030,2017-12,재생에너지 3020 이행계획,관계부처 합동
신재생에너지 누적 보급용량 &#40;발전&#41;,23171MW,2019,2020-11,2019년 신재생에너지 보급통계,KEA 신재생에너지센터
도시가스 판매가격 &#40;산업용 기준&#41;,15.1원/MJ,2020,2021-04,에너지통계월보,에경연
세계 최종 에너지소비량,9717 Mtoe,2017,2019-09,Key World Statistics 2006 ~ 2019,IEA
세계 1차 에너지 수요 전망,16011 Mtoe,2030,연말,World Energy Outlook 2017,IEA
세계 최종에너지 수요 전망,11306 Mtoe,2030,연말,World Energy Outlook 2017,IEA
세계 전력소비량 순위 &#40;우리나라 기준&#41;,7위,2016,2018-11,World Energy Balance,IEA
세계 CO₂배출량,33513MtCO2,2018,연말,CO2 Emission from fuel combustion 2018,IEA
국내총생산&#40;GDP&#41; &#40;명목 기준&#41;,1933152.4십억원,2020,2021-06,경제통계시스템,한국은행
신재생에너지 보급용량 &#40;발전&#41;,4485MW,2019,2020-11,2019년 신재생에너지 보급통계,KEA 신재생에너지센터
신재생에너지 누적 보급용량 &#40;발전외&#41;,1918209㎡,2019,2020-11,2019년 신재생에너지 보급통계,KEA 신재생에너지센터
천연가스 판매현황,33596천톤,2019,2020-06,한국가스공사 홈페이지,한국가스공사
천연가스 판매현황 [도시가스용],18822천톤,2019,2020-06,한국가스공사 홈페이지,한국가스공사
 온실가스 총 배출량 [온실가스별]  ,664.7백만tCO2eq ,2018,2021-01,국가 온실가스 인벤토리 보고서,GIR
석유 판매가격&#40;휘발유 기준&#41;,1381.4원/ℓ,2020,2021-04,에너지통계월보,에경연
석유 판매가격&#40;경유 기준&#41;,1189.7원/ℓ,2020,2021-04,에너지통계월보,에경연
